FixID,DateTime,Latitude ,Longitude ,Altitude 
506,05/05/2014 16:01:19,38.5397203,-111.9501747,2537.648
509,05/06/2014 04:02:05,38.5228806,-111.9649836,2675.73
511,05/06/2014 12:01:09,38.5238344,-111.9920347,2917.402
512,05/06/2014 16:01:18,38.5240942,-111.9934639,2900.352
513,05/06/2014 20:00:59,38.5173122,-111.9728364,2710.879
514,05/07/2014 00:00:50,38.5172978,-111.9581564,2656.586
515,05/07/2014 04:01:21,38.5071219,-111.9692481,2614.414
516,05/07/2014 08:01:18,38.5244639,-111.9955675,2899.145
517,05/07/2014 12:01:21,38.5266083,-111.9940736,2869.781
518,05/07/2014 16:01:53,38.5272581,-111.9803719,2781.449
519,05/07/2014 20:01:36,38.5249436,-111.9640939,2701.781
520,05/08/2014 00:01:18,38.5213836,-111.9537547,2611.125
522,05/08/2014 08:01:48,38.5280036,-111.9556878,2670.965
524,05/08/2014 16:01:37,38.5281961,-111.9554361,2672.23
525,05/08/2014 20:01:22,38.5248778,-111.9565292,2677.551
526,05/09/2014 00:01:16,38.5110069,-111.9584456,2625.418
527,05/09/2014 04:01:00,38.5127828,-111.9784206,2651.816
528,05/09/2014 08:01:17,38.5263581,-111.9790083,2765.66
529,05/09/2014 12:01:19,38.5248075,-111.9858144,2793.375
530,05/09/2014 16:01:18,38.5247489,-111.9862114,2781.199
531,05/09/2014 20:01:11,38.5245178,-111.9863522,2796.906
533,05/10/2014 04:01:08,38.52452,-111.9863911,2793.258
534,05/10/2014 08:01:48,38.5245025,-111.9863292,2787.887
535,05/10/2014 12:01:44,38.5246539,-111.9863022,2792.711
536,05/10/2014 16:01:18,38.5244628,-111.9863139,2783.09
538,05/11/2014 00:01:13,38.5241825,-111.9861083,2824.531
539,05/11/2014 04:02:27,38.5242953,-111.9861011,2801.531
540,05/11/2014 08:01:14,38.5243725,-111.9861978,2789.645
541,05/11/2014 12:01:42,38.5244242,-111.9865061,2795.207
542,05/11/2014 16:01:26,38.5243894,-111.9860169,2757.395
544,05/12/2014 00:01:14,38.5245844,-111.9861792,2784.477
545,05/12/2014 04:01:18,38.5243614,-111.9860431,2783.047
546,05/12/2014 08:01:00,38.5243808,-111.9860994,2792.656
547,05/12/2014 12:01:20,38.5244769,-111.9860633,2799.414
548,05/12/2014 16:01:20,38.5242128,-111.9861889,2789.738
549,05/12/2014 20:01:20,38.5243472,-111.9860978,2790.598
550,05/13/2014 00:02:25,38.5244975,-111.9864647,2781.25
551,05/13/2014 04:01:06,38.5243544,-111.9861514,2804.898
552,05/13/2014 08:01:21,38.5242553,-111.9861411,2801.957
554,05/13/2014 16:01:20,38.5246672,-111.9863989,2799.484
555,05/13/2014 20:01:21,38.5242703,-111.9861469,2798.164
556,05/14/2014 00:01:09,38.5242883,-111.9861047,2787.012
557,05/14/2014 04:01:21,38.5242692,-111.9861553,2776.332
558,05/14/2014 08:01:12,38.5244556,-111.9861653,2797.055
559,05/14/2014 12:01:48,38.5245556,-111.9863706,2794.039
560,05/14/2014 16:01:36,38.5243694,-111.9861661,2790.793
561,05/14/2014 20:01:27,38.5244958,-111.9862453,2774.398
563,05/15/2014 04:02:06,38.5244881,-111.9863861,2792.844
564,05/15/2014 08:01:14,38.5244225,-111.9863111,2789.645
565,05/15/2014 12:01:19,38.52463,-111.9861969,2796.781
566,05/15/2014 16:01:16,38.5245128,-111.9856628,2842.855
567,05/15/2014 20:01:20,38.5245722,-111.9860992,2780.973
569,05/16/2014 04:01:20,38.5245711,-111.9864289,2770.508
571,05/16/2014 12:01:21,38.5247392,-111.9863636,2797.582
572,05/16/2014 16:01:20,38.5245919,-111.9862911,2779.539
573,05/16/2014 20:01:21,38.5246786,-111.9862539,2791.359
574,05/17/2014 00:01:02,38.5243994,-111.9865206,2777.004
575,05/17/2014 04:01:00,38.5245881,-111.9861386,2785.223
577,05/17/2014 12:01:06,38.52438,-111.9862389,2813.043
578,05/17/2014 16:01:22,38.5244697,-111.9863467,2822.688
580,05/18/2014 00:01:13,38.5247617,-111.9858739,2782.82
581,05/18/2014 04:01:20,38.5244311,-111.9863847,2800.793
583,05/18/2014 12:01:18,38.5283847,-111.9878797,2853.34
584,05/18/2014 16:01:16,38.5299864,-111.9887517,2843.82
585,05/18/2014 20:01:54,38.5308889,-111.9841192,2803.691
